id,month,bank_name,no_of_transactions,amt_of_transactions,active_users
325,01-06-2022,Tamilnad Mercantile Bank,621986,724735.75,54071
326,01-06-2022,Thane Bharat Co-operative Bank,19368,16670.97,2797
327,01-06-2022,Ahmedabad District Co-operative Bank,1089,2463.71,87
328,01-06-2022,Akola Janata Commercial Co-operative Bank,1819,3006.15,586
329,01-06-2022,Jammu and Kashmir Bank,457111,562282.28,114423
330,01-06-2022,Kalupur Commercial Co-operative Bank,63328,192401.2,4381
331,01-06-2022,Kalyan Janata Co-operative Bank,6540,6225.2,847
332,01-06-2022,Karur Vysya Bank,994656,1501509.14,176239
333,01-06-2022,Surat Peoples Co-operative Bank,9908,29884.62,809
334,01-06-2022,UCO Bank,314742,399286.65,77343
335,01-06-2022,Ujjivan Small Finance Bank,59759,97018.38,12258
336,01-06-2022,Union Bank of India,2836503,4809447.94,440668
337,01-06-2022,Utkarsh Small Finance Bank,5782,3716.89,3214
338,01-06-2022,Woori Bank,3494,24165.41,554
339,01-06-2022,Yes Bank,5015802,19700720.62,384186
340,01-07-2022,Abhyudaya Co-operative Bank,4,1.83,2
341,01-07-2022,Ahmednagar Merchants Co-operative Bank,19814,32596.51,49
342,01-07-2022,Almora Urban Co-operative Bank,1271,885.12,953
343,01-07-2022,AU Small Finance Bank,546850,911800.56,41561
344,01-07-2022,Airtel Payments Bank,28205,1539.96,7854
345,01-07-2022,Australia and New Zealand Banking Group,25614,854089.95,49
346,01-07-2022,Axis Bank,5970938,3542866.69,1361392
347,01-07-2022,"Bank of America, N.A.",32698,2121936.34,495
348,01-07-2022,BNP Paribas,432305,3225772.03,406
349,01-07-2022,Bandhan Bank,436149,479785.27,83177
350,01-07-2022,Bank of Baroda,3442147,5924022.73,494852
351,01-07-2022,Bank of India,2433315,4644668.47,509402
352,01-07-2022,Bank of Maharashtra,7371154,2172809.08,229165
353,01-07-2022,Barclays Bank PLC,100071,681135.09,2256
354,01-07-2022,Bassein Catholic Co-operative Bank,20948,18935.39,3267
355,01-07-2022,Bharat Co-operative Bank,39041,93030.94,2974
356,01-07-2022,Canara Bank,3442244,4244480.77,845390
357,01-07-2022,Credit Agricole Corporate and Investment Bank,33886,123710.06,111
358,01-07-2022,CSB Bank,142982,61105.09,74553
359,01-07-2022,Capital Small Finance Bank,10663,19584.12,569
360,01-07-2022,Central Bank of India,13093755,2441505.99,355873
361,01-07-2022,Citi Bank,900245,713180.46,533145
362,01-07-2022,City Union Bank,743952,725488.18,100694
363,01-07-2022,Co-operative Rabobank U.A.,472,961.48,19
364,01-07-2022,DBS Bank India,508086,2987346.91,85267
365,01-07-2022,DCB Bank,162125,221058.53,20220
366,01-07-2022,Deutsche Bank AG,59173,32479.43,20246
367,01-07-2022,Dhanlaxmi Bank,84179,75798.09,19081
368,01-07-2022,Emirates NBD Bank,234,385.86,33
369,01-07-2022,ESAF Small Finance Bank,89416,26769.99,3882
370,01-07-2022,Equitas Small Finance Bank,129472,81361.73,132538
371,01-07-2022,Fincare Small Finance Bank,40990,29876.08,6445
372,01-07-2022,Federal Bank,2517496,1373769.78,252913
373,01-07-2022,Fino Payments Bank,390,27.84,303
374,01-07-2022,GP Parsik Janata Co-operative Bank,41031,48555.22,6125
375,01-07-2022,HDFC Bank,54426888,39208806.74,23459067
376,01-07-2022,HSBC,10622810,39459705.79,121621
377,01-07-2022,ICICI Bank,89624808,402084933.8,4425675
378,01-07-2022,IDBI Bank,2759032,6183466.66,626324
379,01-07-2022,IDFC First Bank,3260078,6272163.34,234336
380,01-07-2022,Indian Bank,3244708,2249997.26,1268025
381,01-07-2022,Indian Overseas Bank,3169474,2252522.52,379291
382,01-07-2022,IndusInd Bank,3018847,5282613.53,529229
383,01-07-2022,Industrial Bank of Korea,1608,7781.23,99
384,01-07-2022,Industrial and Commercial Bank of China,512,4476.86,27
385,01-07-2022,Jana Small Finance Bank,22795,13973.1,7406
386,01-07-2022,Janata Co-operative Bank Pune,68798,50626.46,7246
387,01-07-2022,Karnataka Bank,343434,480624.81,30887
388,01-07-2022,Kookmin Bank,252,505.1,68
389,01-07-2022,Kotak Mahindra Bank,11517262,25065366.52,2059513
390,01-07-2022,Mahesh Co-operative Bank Pune,7292,9198.75,5252
391,01-07-2022,NKGSB Co-operative Bank,29659,21778.92,3007
392,01-07-2022,NSDL Payments Bank,10761,1244353.75,30
393,01-07-2022,Nainital Bank,11292,16776.73,1693
394,01-07-2022,New India Co-operative Bank,7082,3420.35,1671
395,01-07-2022,North East Small Finance Bank,27926,19420.1,2912
396,01-07-2022,Paytm Payments Bank,77783,21646.25,1495
397,01-07-2022,Punjab and Sind Bank,36525,10588.61,4164
398,01-07-2022,Punjab National Bank,5445198,13961241.78,792992
399,01-07-2022,RBL Bank,463246,1017610.02,105648
400,01-07-2022,SBM Bank India,2562,1800.38,13125
401,01-07-2022,Societe Generale,1528,140213.79,12
402,01-07-2022,SVC Co-operative Bank,125013,150212.27,34480
403,01-07-2022,Saraswat Co-operative Bank,373236,614558.38,27378
404,01-07-2022,Shivalik Small Finance Bank,14398,21045.92,1320
405,01-07-2022,South Indian Bank,586722,627135.55,73009
406,01-07-2022,State Bank of India,132683957,128366439.5,34263872
407,01-07-2022,Suryoday Small Finance Bank,16310,14594.87,4449
408,01-07-2022,Tamil Nadu State Co-operative Bank,13446,40737.18,685
409,01-07-2022,Thane Bharat Co-operative Bank,20051,14991.46,2809
410,01-07-2022,Jammu and Kashmir Bank,507660,566267.68,114578
411,01-07-2022,Kalupur Commercial Co-operative Bank,63841,174605.39,4326
412,01-07-2022,Surat Peoples Co-operative Bank,10785,28824.53,857
413,01-07-2022,TJSB Co-operative Bank,113457,108569.67,14320
414,01-07-2022,Tamilnad Mercantile Bank,618831,717446,52597
415,01-07-2022,Ahmedabad District Co-operative Bank,1148,2333.96,86
416,01-07-2022,Akola Janata Commercial Co-operative Bank,1801,2797.02,642
417,01-07-2022,Kalyan Janata Co-operative Bank,6709,6301.39,945
418,01-07-2022,Karur Vysya Bank,1018748,1461235.16,176939
419,01-07-2022,UCO Bank,338035,394299.77,79357
420,01-07-2022,Ujjivan Small Finance Bank,60422,92136.07,10686
421,01-07-2022,Union Bank of India,2972002,4476041.97,348547
422,01-07-2022,Utkarsh Small Finance Bank,7478,3745.87,3258
423,01-07-2022,Woori Bank,3227,23757.26,570
424,01-07-2022,Yes Bank,4990807,17825813.51,378005
425,01-08-2022,Abhyudaya Co-operative Bank,7,2.07,2
426,01-08-2022,Ahmednagar Merchants Co-operative Bank,19711,33344.22,56
427,01-08-2022,Almora Urban Co-operative Bank,1158,797.09,939
428,01-08-2022,AU Small Finance Bank,642347,951307.95,43567
429,01-08-2022,Airtel Payments Bank,44087,2153.1,8304
430,01-08-2022,Australia and New Zealand Banking Group,29038,961658.7,47
431,01-08-2022,Axis Bank,5628620,3389653.67,1305679
432,01-08-2022,"Bank of America, N.A.",41923,2571257.91,489
433,01-08-2022,BNP Paribas,418918,3776292.17,402
434,01-08-2022,Bandhan Bank,438204,535199.08,79573
